TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Raven Roost,Mount Rainier Area,,,,,2.75,4,47.0088522465,-121.115564347,2018-10-07,6,https://www.wta.org/go-hiking/hikes/raven-roost
Race Track Shortcut,South Cascades,,,,,2.75,4,,,2010-06-26,1,https://www.wta.org/go-hiking/hikes/race-track-shortcut
Ranger Hole - Interrorem Nature Trail,Olympic Peninsula,2.1,roundtrip,200.0,320.0,4.33,12,47.6806854,-122.9923121,2021-04-09,71,https://www.wta.org/go-hiking/hikes/ranger-hole
Remmel Cutoff,North Cascades,,,,,4.0,3,,,2019-06-13,3,https://www.wta.org/go-hiking/hikes/remmel-cutoff
Raging Creek,Central Cascades,,,,,3.25,4,,,2018-08-14,4,https://www.wta.org/go-hiking/hikes/raging-creek
Railroad Creek,Central Cascades,,,,,2.75,4,,,2019-09-15,35,https://www.wta.org/go-hiking/hikes/railroad-creek
Richmond Mine,South Cascades,,,,,2.75,4,,,2020-08-27,12,https://www.wta.org/go-hiking/hikes/richmond-mine
Reiber Road Loop,Eastern Washington,9.0,roundtrip,100.0,,5.0,4,,,,0,https://www.wta.org/go-hiking/hikes/reiber-road-loop
Remmel Mountain,North Cascades,,,,,1.5,4,,,2019-07-27,5,https://www.wta.org/go-hiking/hikes/remmel-mountain
Rainbow Ridge,North Cascades,,,1700.0,5300.0,2.88,8,48.7634311379,-121.699676514,2020-09-28,30,https://www.wta.org/go-hiking/hikes/rainbow-ridge
Reflection Box Canyon,Mount Rainier Area,,,,,3.8,5,,,2018-07-11,7,https://www.wta.org/go-hiking/hikes/reflection-box-canyon
Rat Trap Pass Snowshoe,North Cascades,7.5,roundtrip,1900.0,3500.0,3.0,2,,,2019-01-28,3,https://www.wta.org/go-hiking/hikes/rat-trap-pass-snowshoe
Remmel Lake,North Cascades,,,,,2.5,4,,,2020-07-17,8,https://www.wta.org/go-hiking/hikes/remmel-lake
Pomas Creek,Central Cascades,,,,,3.75,4,,,2020-07-24,9,https://www.wta.org/go-hiking/hikes/pomas-creek
Pioneer's Path Nature,Olympic Peninsula,,,,,3.25,4,,,2017-06-01,2,https://www.wta.org/go-hiking/hikes/pioneers-path-nature
Pyramid Mountain,Central Cascades,18.0,roundtrip,3000.0,8243.0,3.0,4,48.01805556,-120.50527778,2020-08-01,44,https://www.wta.org/go-hiking/hikes/pyramid-mountain
Ptarmigan Creek,North Cascades,,,,,3.25,4,,,,0,https://www.wta.org/go-hiking/hikes/ptarmigan-creek
Pyramid Creek,Central Cascades,,,,,3.0,4,,,2020-09-26,20,https://www.wta.org/go-hiking/hikes/pyramid-creek
Placid Lake,South Cascades,,,,,4.25,4,,,2019-09-01,3,https://www.wta.org/go-hiking/hikes/placid-lake
Preston Ridge,North Cascades,,,,,2.67,3,,,,0,https://www.wta.org/go-hiking/hikes/preston-ridge
Pilot Ridge,North Cascades,,,,,2.8,5,48.0448418,-121.258825,2020-08-29,67,https://www.wta.org/go-hiking/hikes/pilot-ridge
Port Angeles Waterfront Trail,Olympic Peninsula,,,,,2.25,4,,,2014-08-17,1,https://www.wta.org/go-hiking/hikes/port-angeles-waterfront-trail
Pot Peak,Central Cascades,,,,,1.86,7,47.9818789985,-120.279006958,2021-04-18,14,https://www.wta.org/go-hiking/hikes/pot-peak
Pinnacle Saddle Snowshoe,Mount Rainier Area,6.0,roundtrip,1400.0,6100.0,3.5,2,46.7666069,-121.6990741,2019-03-20,23,https://www.wta.org/go-hiking/hikes/pinnacle-saddle-snowshoe
Ponderosa,South Cascades,,,,,3.75,4,,,,0,https://www.wta.org/go-hiking/hikes/ponderosa
Poodle Dog Pass,North Cascades,,,,4800.0,2.2,5,47.9834876325,-121.380858421,2020-08-09,21,https://www.wta.org/go-hiking/hikes/poodle-dog-pass
Pine Creek,North Cascades,,,,,2.67,3,,,,0,https://www.wta.org/go-hiking/hikes/pine-creek
Phelps Ridge High Route,Central Cascades,,,,,1.5,4,,,2010-07-11,4,https://www.wta.org/go-hiking/hikes/phelps-ridge-high-route
Pugh Ridge,Central Cascades,12.4,roundtrip,2833.0,6783.0,3.2,5,48.0113,-120.57225,2020-07-20,13,https://www.wta.org/go-hiking/hikes/pugh-ridge
Point Defiance,North Cascades,,,,,1.25,4,,,2008-09-08,1,https://www.wta.org/go-hiking/hikes/point-defiance
Little Beaver Creek,North Cascades,35.0,roundtrip,6213.0,5197.0,2.2,5,48.9160695273,-121.073970795,2020-07-17,17,https://www.wta.org/go-hiking/hikes/little-beaver-creek
Wilburton Hill Park,Puget Sound and Islands,2.8,trails,175.0,230.0,3.0,2,47.6100664047,-122.17487812,2021-04-12,10,https://www.wta.org/go-hiking/hikes/wilburton-hill-park
Camano Island State Park,Puget Sound and Islands,2.6,roundtrip,200.0,200.0,2.82,11,48.1219666667,-122.491016667,2021-04-11,91,https://www.wta.org/go-hiking/hikes/camano-island-state-park
Cowiche Mountain,Central Washington,7.0,roundtrip,1140.0,2970.0,3.0,1,46.6597861084,-120.756998062,2021-04-03,24,https://www.wta.org/go-hiking/hikes/cowiche-mountain
Coal Creek Trail,Issaquah Alps,6.0,roundtrip,550.0,600.0,3.28,25,47.5541912,-122.1665777,2021-04-19,220,https://www.wta.org/go-hiking/hikes/coal-creek
Lower Gray Wolf River,Olympic Peninsula,8.4,roundtrip,800.0,1500.0,3.64,22,47.9670333333,-123.1274,2021-04-21,232,https://www.wta.org/go-hiking/hikes/gray-wolf-river
Lake Whatcom Park - Hertz Trail,Puget Sound and Islands,6.2,roundtrip,100.0,,3.56,9,48.7302068179,-122.309044227,2021-04-03,48,https://www.wta.org/go-hiking/hikes/lake-whatcom-park-hertz-trail
Ohme Gardens County Park,Central Washington,1.0,roundtrip,150.0,800.0,5.0,1,47.4780493397,-120.326390043,2019-08-20,1,https://www.wta.org/go-hiking/hikes/ohme-gardens
Padilla Bay,Puget Sound and Islands,4.4,roundtrip,30.0,30.0,3.23,13,48.4803,-122.47305,2021-03-12,116,https://www.wta.org/go-hiking/hikes/padilla-bay
Anacortes Community Forest Lands - Mount Erie,Puget Sound and Islands,5.0,roundtrip,1000.0,1300.0,4.36,14,48.4690161574,-122.629368497,2021-04-20,140,https://www.wta.org/go-hiking/hikes/mount-erie
Hall Point,Snoqualmie Region,,,,,0.0,0,47.4356482574,-121.651964059,2021-04-01,11,https://www.wta.org/go-hiking/hikes/hall-point
Hansen Ridge,Snoqualmie Region,15.0,roundtrip,1300.0,4100.0,0.0,0,47.3629553026,-121.530590057,2021-04-04,87,https://www.wta.org/go-hiking/hikes/harris-lake-trail
Greenway Mountain,Snoqualmie Region,,,,,4.0,1,47.4364480658,-121.661224365,2021-04-16,18,https://www.wta.org/go-hiking/hikes/greenway-mountain
Zig Zag Trail,Snoqualmie Region,,,,,2.75,4,47.4356425254,-121.655961871,2021-04-16,47,https://www.wta.org/go-hiking/hikes/zig-zag-trail
Mount Kent,Snoqualmie Region,,,,,4.0,1,47.4064533249,-121.604640484,2020-09-04,15,https://www.wta.org/go-hiking/hikes/mount-kent
Duke of Kent,Snoqualmie Region,7.0,roundtrip,3400.0,4840.0,3.0,4,47.409284754,-121.602258682,2020-06-05,6,https://www.wta.org/go-hiking/hikes/duke-of-kent
Bearscout Peak,Snoqualmie Region,,,,5210.0,0.0,0,47.3325554,-121.4844987,2020-06-02,9,https://www.wta.org/go-hiking/hikes/bearscout-peak
Scout Patrol Peak,Snoqualmie Region,,,2724.0,4693.0,3.0,2,47.3556009,-121.5194765,2020-10-29,15,https://www.wta.org/go-hiking/hikes/scout-patrol-peak
Deception Crags,Snoqualmie Region,1.0,roundtrip,250.0,1450.0,3.8,5,47.4380833333,-121.6611,2020-05-09,12,https://www.wta.org/go-hiking/hikes/deception-crags
Ptarmigan Ridge,North Cascades,9.0,roundtrip,1800.0,6100.0,4.48,29,48.8463333333,-121.692666667,2020-12-05,264,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge
Burfoot County Park,Olympic Peninsula,3.0,trails,150.0,200.0,3.33,6,47.1325162042,-122.901652157,2020-08-29,12,https://www.wta.org/go-hiking/hikes/burfoot-park
Point Defiance Park,Puget Sound and Islands,5.0,roundtrip,200.0,300.0,4.12,16,47.3049603032,-122.516784668,2021-04-17,121,https://www.wta.org/go-hiking/hikes/point-defiance-park
Ravensdale Retreat Natural Area,Puget Sound and Islands,3.25,roundtrip,200.0,767.0,2.0,1,47.3555097071,-121.977499106,2021-03-31,6,https://www.wta.org/go-hiking/hikes/ravensdale-retreat-natural-area
Indian Dan State Wildlife Refuge,North Cascades,3.0,roundtrip,200.0,1700.0,0.0,0,48.1117294269,-119.867062569,2021-04-04,4,https://www.wta.org/go-hiking/hikes/indian-dan-state-wildlife-refuge
O'Neil Pass,Olympic Peninsula,12.0,one-way,,5000.0,3.8,5,47.653941015065776,-123.32050323486327,2020-09-03,40,https://www.wta.org/go-hiking/hikes/oneil-pass
Constance Pass,Olympic Peninsula,7.8,one-way,,6080.0,4.4,5,47.7415744529,-123.049535751,2020-09-09,44,https://www.wta.org/go-hiking/hikes/constance-pass
Olallie State Park - Weeks Falls,Snoqualmie Region,1.6,roundtrip,,,3.33,6,47.4418325333,-121.672545969,2021-03-30,14,https://www.wta.org/go-hiking/hikes/weeks-falls
Dirty Harry's Balcony,Snoqualmie Region,4.4,roundtrip,1300.0,2600.0,3.55,53,47.4311697903,-121.632393858,2021-04-21,668,https://www.wta.org/go-hiking/hikes/dirty-harrys-balcony
Spade Lake,Snoqualmie Region,25.6,roundtrip,5200.0,5400.0,3.38,13,47.4095029413,-121.106768847,2020-10-17,94,https://www.wta.org/go-hiking/hikes/spade-lake
